product_id,product_name,category,price
1,电脑商品1,电脑,2372.37
2,手机商品2,手机,4164.08
3,美妆商品3,美妆,126.64
4,家电商品4,家电,1400.94
5,家电商品5,家电,62.15
6,服装商品6,服装,2107.77
7,运动商品7,运动,3655.16
8,服装商品8,服装,4003.92
9,食品商品9,食品,4728.69
10,家电商品10,家电,3062.1
11,图书商品11,图书,1310.4
12,图书商品12,图书,4624.53
13,家电商品13,家电,3887.81
14,图书商品14,图书,2893.42
15,图书商品15,图书,3493.42
16,运动商品16,运动,4625.37
17,食品商品17,食品,3576.35
18,电脑商品18,电脑,1873.45
19,运动商品19,运动,3579.49
20,美妆商品20,美妆,249.38
21,服装商品21,服装,1962.76
22,图书商品22,图书,2061.3
23,电脑商品23,电脑,875.85
24,服装商品24,服装,164.27
25,图书商品25,图书,710.24
26,运动商品26,运动,3290.38
27,电脑商品27,电脑,4021.33
28,运动商品28,运动,4941.61
29,美妆商品29,美妆,1764.5
30,手机商品30,手机,3016.93
31,家电商品31,家电,4688.87
32,食品商品32,食品,876.86
33,电脑商品33,电脑,3602.35
34,家电商品34,家电,3787.14
35,手机商品35,手机,490.43
36,电脑商品36,电脑,4313.18
37,家电商品37,家电,4074.87
38,家电商品38,家电,215.34
39,电脑商品39,电脑,500.87
40,家电商品40,家电,293.18
41,家电商品41,家电,1706.98
42,电脑商品42,电脑,2570.98
43,食品商品43,食品,2685.12
44,家电商品44,家电,1374.95
45,家电商品45,家电,4562.4
46,食品商品46,食品,1872.9
47,服装商品47,服装,275.47
48,美妆商品48,美妆,1536.12
49,服装商品49,服装,2678.99
50,图书商品50,图书,2070.7
51,手机商品51,手机,1405.52
52,服装商品52,服装,700.05
53,服装商品53,服装,4104.86
54,手机商品54,手机,4980.92
55,家电商品55,家电,1681.23
56,家电商品56,家电,1939.02
57,服装商品57,服装,3109.29
58,手机商品58,手机,3606.29
59,家电商品59,家电,1990.55
60,运动商品60,运动,4529.4
61,电脑商品61,电脑,2822.02
62,电脑商品62,电脑,2279.43
63,美妆商品63,美妆,3251.03
64,电脑商品64,电脑,4766.38
65,服装商品65,服装,3983.03
66,电脑商品66,电脑,248.06
67,电脑商品67,电脑,1694.93
68,运动商品68,运动,2379.2
69,家电商品69,家电,1606.86
70,运动商品70,运动,3515.93
71,服装商品71,服装,4140.03
72,电脑商品72,电脑,3670.16
73,食品商品73,食品,4947.2
74,家电商品74,家电,1399.11
75,美妆商品75,美妆,4381.2
76,美妆商品76,美妆,3844.78
77,图书商品77,图书,1842.78
